number;type;tree;bush;diameter;height;description;action
2307;Клен ясенелистный;1;;16;;водоохр.зона, ствол наклонен;Вырубить
2308;Клен ясенелистный;1;;6,6;;водоохр.зона, 2 ствола, сухобочина;Вырубить
2310;Клен остролистный;1;;8;;водоохр.зона;Вырубить
2312;слива куст;;1;;;водоохр.зона;Сохранить
2313;Клен остролистный;1;;8;;водоохр.зона;Вырубить
2314;хвойный кустарник;;1;;;водоохр.зона;Сохранить
2315;Клен остролистный;1;;6,14;;водоохр.зона, 2 ствола;Вырубить
2316;Вяз;1;;10;;водоохр.зона;Вырубить
2317;самосев лиственных пород;;;1;;водоохр.зона;Вырубить
2318;Клен остролистный;1;;12;;водоохр.зона;Вырубить
2319;Клен остролистный;1;;10;;водоохр.зона;Сохранить
2320;Клен остролистный;1;;10;;водоохр.зона;Сохранить
2322;Клен остролистный;1;;6;;водоохр.зона;Сохранить
2332;Сосна;1;;61;;;Сохранить
2333;Липа;1;;16;;;Сохранить
2344;Сосна;1;;62;;;Сохранить
2377;Сосна;1;;61;;;Вырубить
2378;Ель;1;;29;;;Вырубить
2389;Береза;1;;21;;;Вырубить
2390;Береза;1;;17;;;Вырубить
2391;Липа;1;;18;;;Вырубить
2392;Береза;1;;20;;;Вырубить
2393;Сосна;1;;42;;;Вырубить
2396;Липа;1;;32,32;;2 ствола;Вырубить
2398;Береза;1;;39;;;Вырубить
2399;Липа;1;;41;;;Вырубить
2402;Липа;1;;22;;;Вырубить
2403;Береза;1;;16;;;Вырубить
2404;Береза;1;;16;;;Вырубить
2405;Сосна;1;;53;;ствол наклонен;Вырубить
2406;Ель;1;;53;;;Вырубить
2407;Сосна;1;;49;;;Вырубить
2408;Липа;1;;28;;;Вырубить
2410;Сосна;1;;43;;;Вырубить
2411;Сосна;1;;46;;ствол наклонен, сухие ветви;Вырубить
2412;Береза;1;;33;;;Сохранить
2413;Береза;1;;18;;;Сохранить
2414;Береза;1;;28;;;Вырубить
2416;Сосна;1;;55;;;Вырубить
2417;Сосна;1;;51;;;Вырубить
2418;Береза;1;;33;;;Вырубить
2419;Сосна;1;;59;;;Сохранить
2424;Сосна;1;;41;;сухие ветви;Вырубить
2425;Сосна;1;;39;;;Вырубить
2426;Сосна;1;;41;;;Вырубить
2428;Сосна;1;;54;;;Вырубить
2429;Липа;1;;31;;сухобочина;Вырубить
2430;Липа;1;;27;;;Вырубить
2431;Липа;1;;34;;;Вырубить
2433;Сосна;1;;58;;;Вырубить
2434;Липа;1;;21;;;Вырубить
2436;Липа;1;;31;;;Вырубить
2437;Сосна;1;;40;;;Вырубить
2439;Сосна;1;;51;;;Вырубить
2440;Липа;1;;18;;;Вырубить
2444;Сосна;1;;41;;;Вырубить
2445;Береза;1;;22;;;Вырубить
2505;Ель;1;;73;;;Вырубить
2509;Береза;1;;32;;водоохр.зона, сухобочина;Вырубить
2515;Ель;1;;51;;водоохр.зона;Вырубить
2518;Ель;1;;33;;водоохр.зона;Вырубить
2533;Сосна;1;;52;;водоохр.зона;Сохранить
2534;Липа;1;;40;;водоохр.зона, с развилкой, сух.вет.;Сохранить
2535;Сосна;1;;52;;водоохр.зона;Сохранить
2537;Ель;1;;30;;;Вырубить
2540;Ель;1;;16;;однобок.крона;Вырубить
2541;Ель;1;;34;;;Вырубить
2542;Ель;1;;30;;;Вырубить
2549;Ель;1;;16;;;Вырубить
2551;Ель;1;;18;;;Сохранить
2553;Сосна;1;;44;;;Вырубить
2557;Ель;1;;51;;;Сохранить
2561;Сосна;1;;40;;;Сохранить
2563;Сосна;1;;38;;;Сохранить
2565;Сосна;1;;55;;однобок., облом.верш.;Сохранить
2566;Ель;1;;60;;;Сохранить
2567;Липа;1;;19;;;Сохранить
2568;Сосна;1;;48;;;Сохранить
2569;Сосна;1;;54;;;Сохранить
2573;Липа;1;;24;;;Сохранить
2574;Ель;1;;47;;;Сохранить
2575;Сосна;1;;46;;;Сохранить
2576;Липа;1;;30;;сильное искривл.верх.ч.ств.;Вырубить
2577;Ель;1;;53;;;Сохранить
2578;Ель;1;;46;;;Сохранить
2579;Рябина;1;;06.авг;;сух.вет.;Сохранить
2579;лещина куст;;1;;;;Сохранить
2581;Ель;1;;45;;;Сохранить
2582;Липа;1;;31;;;Сохранить
2583;Сосна;1;;34;;стар.поврежд.ств.,искривл.верх.части;Сохранить
2585;Сосна;1;;40;;;Сохранить
2586;Ель;1;;15;;;Сохранить
2588;Сосна;1;;46;;;Сохранить
2589;Ель;1;;15;;верш.обломана;Сохранить
2590;Сосна;1;;56;;;Сохранить
2593;Липа;1;;31;;ствол искривлен;Вырубить
2594;Ель;1;;24;;;Вырубить
2595;Ель;1;;53;;;Сохранить
2596;Ель;1;;30;;;Вырубить
2599;Липа;1;;26;;;Сохранить
2606;Ель;1;;49;;;Вырубить
2608;Липа;1;;31;;;Вырубить
2609;Ель;1;;52;;;Вырубить
2610;Сосна;1;;60;;;Вырубить
2611;Ель;1;;51;;;Вырубить
2612;Сосна;1;;51;;;Вырубить
2615;Клен остролистный;1;;10;;;Вырубить
2617;Липа;1;;32;;;Вырубить
2618;Липа;1;;30;;;Вырубить
2619;лещина куст;;1;;;;Сохранить
2621;Липа;1;;35;;;Вырубить
2622;Липа;1;;40;;;Вырубить
2627;Липа;1;;28;;;Вырубить
2633;Сосна;1;;38;;;Вырубить
2634;Рябина;1;;20;;;Вырубить
2637;Сосна;1;;41;;;Вырубить
2642;Сосна;1;;47;;;Сохранить
2643;Сосна;1;;51;;;Сохранить
2644;Сосна;1;;47;;;Вырубить
2645;Липа;1;;48;;;Вырубить
2646;Береза;1;;40;;;Вырубить
2647;Сосна;1;;52;;;Вырубить
2648;Сосна;1;;49;;;Вырубить
2649;Сосна;1;;65;;;Вырубить
2650;Ель;1;;50;;;Вырубить
2651;Сосна;1;;47;;;Вырубить
2652;Сосна;1;;51;;;Вырубить
2653;Береза;1;;47;;;Сохранить
2655;Береза;1;;31;;;Сохранить
2656;Сосна;1;;42;;;Вырубить
2657;Береза;1;;32;;;Вырубить
2658;Сосна;1;;52;;;Вырубить
2659;Береза;1;;41;;;Вырубить
2669;Береза;1;;41;;сухие ветви;Сохранить
2670;Сосна;1;;55;;;Вырубить
2671;Ель;1;;42;;;Вырубить
2672;Липа;1;;36;;;Вырубить
2673;Ель;1;;38;;;Вырубить
2674;Береза;1;;32;;;Вырубить
2675;Береза;1;;44;;;Вырубить
2676;Сосна;1;;53;;;Вырубить
2677;Липа;1;;32;;;Вырубить
2678;Сосна;1;;50,5;;2 ствола;Вырубить
2680;Береза;1;;29;;;Вырубить
2681;Сосна;1;;61;;;Вырубить
2682;Сосна;1;;53;;;Вырубить
2686;Береза;1;;39,4;;2 ствола;Вырубить
2687;Липа;1;;26,26;;2 ствола;Вырубить
2689;Сосна;1;;62;;;Вырубить
2690;Береза;1;;20;;сухие ветви;Вырубить
2691;Липа;1;;17;;;Вырубить
2692;Сосна;1;;41;;;Вырубить
2693;Ель;1;;40;;;Вырубить
2694;Липа;1;;24;;сухие ветви;Вырубить
2703;Ель;1;;45;;сухие ветви;Вырубить
2704;Сосна;1;;54;;;Вырубить
2705;Сосна;1;;60;;;Вырубить
2707;Липа;1;;30;;;Вырубить
2708;Сосна;1;;52;;;Вырубить
2709;Сосна;1;;58;;;Вырубить
2710;Сосна;1;;51;;сухие ветви;Вырубить
2711;Сосна;1;;61;;;Вырубить
2719;Сосна;1;;52;;;Вырубить
2720;Ель;1;;38;;;Вырубить
2722;Ель;1;;15;;;Сохранить
2723;Ель;1;;18;;;Вырубить
2724;Береза;1;;50;;;Вырубить
2726;Ель;1;;59;;;Вырубить
2727;Клен остролистный;1;;30;;;Вырубить
2728;Ель;1;;10;;;Вырубить
2729;Ель;1;;43;;;Вырубить
2731;Ель;1;;21;;;Вырубить
2736;Ель;1;;30;;;Вырубить
2739;Ель;1;;28;;;Вырубить
2740;Береза;1;;55;;;Вырубить
2741;Ель;1;;67;;;Вырубить
2742;Береза;1;;23;;;Вырубить
2743;Ель;1;;32;;;Вырубить
2754;Липа;1;;37;;;Вырубить
2755;Ель;1;;53;;;Вырубить
2756;Ель;1;;30;;;Вырубить
2757;Ель;1;;18;;;Вырубить
2758;Ель;1;;17;;;Сохранить
2759;Береза;1;;16,16;;2 ствола;Вырубить
2760;Сосна;1;;45;;;Вырубить
2761;Береза;1;;48;;;Вырубить
2766;Береза;1;;40;;;Вырубить
2767;Ель;1;;44;;;Вырубить
2769;Сосна;1;;32;;;Сохранить
2770;Ель;1;;52;;;Вырубить
2771;Ель;1;;50;;;Вырубить
2772;Ель;1;;33;;;Вырубить
2773;Береза;1;;53;;;Вырубить
2776;Сосна;1;;55;;ствол наклонен;Вырубить
2779;Ель;1;;58;;;Вырубить
2783;Береза;1;;27;;;Вырубить
2786;Сосна;1;;46;;;Вырубить
2787;Ель;1;;40;;;Вырубить
2788;Липа;1;;38;;;Вырубить
2789;Липа;1;;21;;;Вырубить
2790;Ель;1;;19;;;Вырубить
2791;Сосна;1;;22;;;Вырубить
2793;Липа;1;;49;;;Сохранить
2794;Липа;1;;19;;;Вырубить
2797;Сосна;1;;48;;;Вырубить
2798;Сосна;1;;15;;;Вырубить
2799;Береза;1;;17;;;Вырубить
2800;Береза;1;;31;;;Вырубить
2804;Липа;1;;22;;;Вырубить
2805;Береза;1;;15;;;Вырубить
2806;Липа;1;;50;;;Вырубить
2811;Береза;1;;19;;;Вырубить
2813;Береза;1;;30;;;Вырубить
2814;Береза;1;;21;;;Вырубить
2818;Липа;1;;31;;;Вырубить
2819;Береза;1;;12;;;Вырубить
2820;Береза;1;;19,2;;2 ствола;Вырубить
2821;Сосна;1;;31;;ствол наклонен;Сохранить
2824;Сосна;1;;19;;;Вырубить
2825;Береза;1;;22;;;Вырубить
2826;Ель;1;;34;;;Вырубить
2827;Ель;1;;45;;;Вырубить
2828;Береза;1;;41,4;;2 ствола;Вырубить
2832;Береза;1;;40;;;Вырубить
2833;Береза;1;;52;;;Вырубить
2834;Сосна;1;;20,22;;2 ствола;Вырубить
2837;Липа;1;;24;;;Вырубить
2838;Липа;1;;31;;;Вырубить
2842;Липа;1;;27;;;Вырубить
2849;Липа;1;;40;;;Вырубить
2873;Липа;1;;50,50,52;;3 ствола;Вырубить
2874;Липа;1;;48;;;Сохранить
2884;Береза;1;;39;;;Вырубить
2885;Сосна;1;;30;;;Вырубить
2890;Сосна;1;;35;;;Вырубить
2900;Липа;1;;36;;водоохр.зона;Вырубить
2901;Липа;1;;25;;водоохр.зона;Вырубить
2902;Липа;1;;19;;водоохр.зона;Сохранить
2903;Ель;1;;25;;водоохр.зона;Вырубить
2907;Береза;1;;36;;водоохр.зона;Вырубить
2926;Береза;1;;40;;водоохр.зона;Вырубить
2927;Береза;1;;42;;водоохр.зона, ствол наклонен;Вырубить
2929;Ель;1;;35;;водоохр.зона;Вырубить
2930;Ель;1;;33;;водоохр.зона, сухостой;Вырубить
2931;Ель;1;;23;;водоохр.зона;Вырубить
2932;Ель;1;;26;;водоохр.зона;Вырубить
2933;Ель;1;;55;;водоохр.зона;Вырубить
2934;Ель;1;;48;;водоохр.зона;Вырубить
2935;Ель;1;;45;;водоохр.зона;Вырубить
2936;Ель;1;;38;;водоохр.зона;Вырубить
2938;Сосна;1;;25;;водоохр.зона;Сохранить
2939;Ель;1;;41;;водоохр.зона;Вырубить
2958;Береза;1;;33;;;Сохранить
3001;Сосна;1;;54;;;Сохранить
3003;Липа;1;;50;;;Вырубить
3019;Сосна;1;;59;;;Вырубить
3021;Липа;1;;35;;;Вырубить
3022;Липа;1;;33;;;Вырубить
3024;Ель;1;;53;;;Вырубить
3035;Береза;1;;32;;;Вырубить
3036;Липа;1;;31;;;Вырубить
3037;Липа;1;;33;;;Вырубить
3038;Липа;1;;29;;;Сохранить
3047;Сосна;1;;51;;;Сохранить
3048;Береза;1;;33;;;Вырубить
3053;Липа;1;;34,34;;2 ствола;Вырубить
3054;Ель;1;;37;;;Вырубить
3061;Липа;1;;30;;;Вырубить
3062;Береза;1;;32;;;Вырубить
3066;Ель;1;;34;;;Вырубить
3067;Ель;1;;43;;;Вырубить
3076;Рябина;1;;21;;сухобочина;Вырубить
3077;Сосна;1;;56;;наличие плодовых тел;Вырубить
3083;Ель;1;;48;;;Вырубить
3084;Ель;1;;44;;;Вырубить
3087;Сосна;1;;47;;;Вырубить
3092;Ель;1;;38;;;Вырубить
3093;Липа;1;;30;;;Вырубить
3101;Ель;1;;48;;;Вырубить
3113;Береза;1;;31;;;Вырубить
3119;Береза;1;;34;;;Вырубить
3124;Береза;1;;31;;;Вырубить
3127;Сосна;1;;47;;ствол наклонен;Вырубить
3135;Ель;1;;43;;;Вырубить
3136;Береза;1;;35;;;Вырубить
3137;Береза;1;;29;;сухие ветви, спилы;Вырубить
3141;Сосна;1;;51;;сухобочина;Вырубить
3142;Ель;1;;49;;;Вырубить
3145;Береза;1;;40;;;Вырубить
3146;Ель;1;;12;;сух.вет., выс.крона;Сохранить
3147;Ель;1;;48;;ствол наклонен;Вырубить
3152;Ель;1;;42;;с развилкой;Вырубить
3153;Береза;1;;32,32;;2 ствола;Вырубить
3154;Липа;1;;35;;;Вырубить
3155;Сосна;1;;56;;;Вырубить
3156;Липа;1;;30,3;;2 ствола;Вырубить
3157;Сосна;1;;54;;;Вырубить
3158;Сосна;1;;58,58;;2 ствола;Вырубить
3159;Сосна;1;;58,58;;2 ствола;Вырубить
3160;Ель;1;;54;;ствол наклонен;Вырубить
3161;Ель;1;;51,52;;2 ствола;Вырубить
3162;Береза;1;;32;;ствол наклонен;Вырубить
3163;Сосна;1;;48;;;Сохранить
3164;Ель;1;;51;;сухие ветви;Вырубить
3165;Сосна;1;;56;;;Вырубить
3166;Сосна;1;;58;;;Сохранить
3167;Береза;1;;33;;;Вырубить
3168;Липа;1;;29;;;Вырубить
3169;Ель;1;;46;;ствол наклонен;Вырубить
3170;Ель;1;;52;;;Вырубить
3171;Ель;1;;58;;;Вырубить
3172;Ель;1;;50;;;Вырубить
3173;Ель;1;;59;;ствол наклонен, спилы;Вырубить
3174;Ель;1;;49;;;Вырубить
3175;Сосна;1;;60;;;Вырубить
3176;Сосна;1;;57;;;Вырубить
3177;Ель;1;;45;;;Вырубить
3178;Береза;1;;36;;;Вырубить
3179;Липа;1;;33;;;Вырубить
3180;Липа;1;;31;;;Вырубить
3190;Ель;1;;48;;;Вырубить
3191;Береза;1;;31;;сухобочина;Вырубить
3192;Береза;1;;35;;;Вырубить
3193;Ель;1;;52;;;Вырубить
3194;Липа;1;;34;;;Вырубить
3195;Липа;1;;29;;;Вырубить
3197;Ель;1;;54;;;Вырубить
3198;Береза;1;;32;;;Вырубить
3199;Береза;1;;29;;ствол наклонен;Вырубить
3201;Сосна;1;;58;;;Вырубить
3202;Ель;1;;39;;;Вырубить
3207;Сосна;1;;54;;;Вырубить
3209;Ель;1;;46;;;Сохранить
3298;Сосна;1;;32;;многочисл.сух.вет.;Сохранить
3302;Клен остролистный;1;;8;;водоохр.зона;Вырубить
3306;Липа;1;;11;;водоохр.зона;Вырубить
3307;Сосна;1;;46;;водоохр.зона;Вырубить
3309;Ель;1;;15;;водоохр.зона, морозоб.трещина;Вырубить
3310;Сосна;1;;36;;водоохр.зона;Сохранить
3311;Липа;2;;12;;водоохр.зона;Вырубить
3315;Боярышник;2;;6;;водоохр.зона, 1 с поврежд.коры;Сохранить
3315;лещина куст;;1;;;водоохр.зона;Сохранить
3316;Сосна;1;;44;;водоохр.зона, длинная сухобочина;Сохранить
3316;Тополь бальзамический;1;;8;;водоохр.зона;Сохранить
3316;Рябина;1;;6;;водоохр.зона;Сохранить
3318;Сосна;1;;42;;водоохр.зона;Сохранить
3319;Сосна;1;;42;;водоохр.зона;Сохранить
3320;Ель;1;;20;;водоохр.зона;Вырубить
3400;Ель;1;;26;;водоохр.зона, сухие ветви;Вырубить
3401;Липа;;1;;;водоохр.зона;Вырубить
3419;Липа;1;;46;;водоохр.зона;Вырубить
3420;Липа;1;;44;;водоохр.зона, ствол наклонен, сухобочина;Вырубить
3421;Сосна;1;;84;;водоохр.зона;Вырубить
3422;Сосна;1;;58;;водоохр.зона, сухобочина;Вырубить
3423;Сосна;1;;60;;водоохр.зона;Вырубить
3424;Лиственница;1;;14;;водоохр.зона;Вырубить
3425;Ясень;1;;12,8;;водоохр.зона, 2 ствола;Вырубить
3426;Липа;1;;16;;водоохр.зона, спилы;Вырубить
3453;Клен остролистный;1;;12;;;Вырубить
3454;Клен остролистный;1;;10;;;вырубить
3457;Клен остролистный;1;;6;;;Вырубить
3459;Клен остролистный;1;;8;;;Вырубить
3461;Сосна;1;;51;;ствол наклонен, сухобочина;Вырубить
3462;Сосна;1;;49;;ствол наклонен, сухобочина;Вырубить
3463;Сосна;1;;59;;;Вырубить
3464;Липа;1;;49;;;Вырубить
3465;Липа;1;;21;;;Вырубить
3466;Липа;1;;22;;;Вырубить
3467;Сосна;1;;61;;;Вырубить
3512;Сосна;1;;61;;водоохр.зона;Вырубить
3522;Липа;1;;22;;водоохр.зона;Вырубить
3524;Береза;1;;21;;водоохр.зона;Вырубить
3532;Береза;1;;32;;водоохр.зона;Вырубить
3534;Липа;1;;41;;водоохр.зона;Вырубить
3537;Липа;1;;22;;водоохр.зона;Вырубить
3548;Береза;1;;18;;водоохр.зона;Вырубить
3549;Береза;1;;28;;водоохр.зона;Вырубить
3550;Сосна;1;;54;;водоохр.зона;Сохранить
3572;Сосна;1;;40;;водоохр.зона;Вырубить
3574;Сосна;1;;51;;водоохр.зона;Сохранить
3586;Липа;1;;19;;;Вырубить
3587;Липа;1;;32;;;Вырубить
3591;Липа;1;;22;;;Вырубить
3595;Липа;1;;32;;;Сохранить
3597;Липа;1;;21;;;Вырубить
3598;Липа;1;;19;;;Сохранить
3599;Липа;1;;28;;;Вырубить
3600;Береза;1;;15;;;Вырубить
3602;Сосна;1;;41;;;Вырубить
3605;Сосна;1;;40;;ствол наклонен;Сохранить
3649;Сосна;1;;43;;водоохр.зона;Сохранить
3654;Ель;1;;55;;водоохр.зона;Сохранить
3655;Ель;1;;30;;водоохр.зона;Вырубить
3724;Липа;1;;10;;облом.верш.;Сохранить
3797;Береза;1;;11;;искривл, усых., вытянут.;Сохранить
3813;Ель;1;;52;;;Сохранить
3817;Сосна;1;;30;;;Сохранить
3833;Сосна;1;;36;;;Вырубить
3836;Липа;1;;39;;ствол искривлен;Вырубить
3837;Ель;1;;52;;сухостой;Вырубить
3842;Липа;1;;30;;;Вырубить
3843;Сосна;1;;52;;;Вырубить
3847;Ель;1;;49;;;Вырубить
3851;Ель;1;;30;;;Вырубить
3852;Ель;1;;38;;сухостой;Вырубить
3854;Сосна;1;;52;;;вырубить
3855;Ель;1;;38;;;Вырубить
3856;Береза;1;;47;;;Вырубить
3857;Ель;1;;15;;;вырубить
3858;Ель;1;;18;;;Сохранить
3864;Сосна;1;;43;;;Сохранить
3865;Сосна;1;;47;;;Вырубить
3875;Сосна;1;;55;;;Вырубить
3876;Сосна;1;;67;;;Вырубить
3890;Липа;1;;34;;;Вырубить
3891;Липа;1;;32;;;Вырубить
3893;Липа;1;;17;;;Вырубить
3894;Береза;1;;16,16;;2 ствола;Сохранить
3895;Ель;1;;45;;;Вырубить
3896;Сосна;1;;48;;;Сохранить
3897;Сосна;1;;55;;;Вырубить
3898;Липа;1;;30;;;Сохранить
3899;Береза;1;;21;;;Вырубить
3900;Сосна;1;;46;;;Вырубить
3901;Сосна;1;;40;;;Вырубить
3902;Сосна;1;;44;;;Вырубить
3908;Сосна;1;;53;;;Вырубить
3913;Липа;1;;22;;;Вырубить
3914;Сосна;1;;58;;;Сохранить
3915;Сосна;1;;60;;;Вырубить
3921;Сосна;1;;46;;;Вырубить
3922;Сосна;1;;40;;;Вырубить
3928;Сосна;1;;49;;;Вырубить
3929;Липа;1;;19;;;Вырубить
3931;Липа;1;;20;;;Вырубить
3932;Сосна;1;;48;;;Вырубить
3934;Береза;1;;17;;;Вырубить
3935;Береза;1;;31;;;Вырубить
3937;Береза;1;;17;;;Вырубить
3940;Береза;1;;15;;;Сохранить
3943;Береза;1;;29;;;Вырубить
3944;Сосна;1;;45;;;Вырубить
3945;Береза;1;;22;;;Вырубить
3946;Береза;1;;19;;;Вырубить
3947;Сосна;1;;52;;;Вырубить
3951;Сосна;1;;52;;ствол наклонен;Вырубить
3952;Сосна;1;;45;;;Вырубить
3953;Липа;1;;31;;;Вырубить
3959;Береза;1;;19;;;Вырубить
3960;Береза;1;;22;;;Вырубить
3963;Сосна;1;;41,4;;2 ствола;Вырубить
3964;Сосна;1;;39;;;Вырубить
3965;Сосна;1;;41;;;Вырубить
3969;Береза;1;;21,2;;2 ствола;Вырубить
3970;Сосна;1;;58;;;Вырубить
3971;Липа;1;;32;;с развилкой;Вырубить
3972;Липа;1;;24;;;Вырубить
3975;Липа;1;;21;;;Вырубить
3979;Сосна;1;;53;;;Вырубить
3984;Сосна;1;;40;;;Вырубить
3994;Липа;1;;22;;;Вырубить
3997;Сосна;1;;45;;ствол наклонен;Вырубить
3999;Липа;1;;27;;сухобочина;Вырубить
4000;Липа;1;;32;;;Вырубить
4001;Липа;1;;28;;;Вырубить
4002;Сосна;1;;41;;;Вырубить
4003;Липа;1;;20;;;Вырубить
4008;Сосна;1;;50;;;Вырубить
4010;Сосна;1;;54;;;Вырубить
4011;Ель;1;;31;;;Вырубить
4012;Ель;1;;42;;;Сохранить
4013;Сосна;1;;42;;;Вырубить
4015;Ель;1;;68;;;Вырубить
4016;Сосна;1;;43;;;Вырубить
4017;Ель;1;;65;;;Вырубить
4018;Ель;1;;45;;;Сохранить
4028;Сосна;1;;44;;;Сохранить
4030;Береза;1;;30;;;Сохранить
4031;Ель;1;;36;;;Сохранить
4032;Ель;1;;38;;;Сохранить
4033;Ель;1;;32;;;Сохранить
4034;Сосна;1;;33;;ствол наклонен;Сохранить
4036;Ель;1;;25;;;Сохранить
4040;Липа;1;;35;;;Сохранить
4041;Береза;1;;34;;;Сохранить
4044;Сосна;1;;54;;;Сохранить
4046;Сосна;1;;47;;;Сохранить
4048;Сосна;1;;38;;;Сохранить
4050;Береза;1;;32;;;Сохранить
4052;Береза;1;;38;;;Сохранить
4053;Береза;1;;31;;;Сохранить
4055;Липа;1;;25;;;Сохранить
4087;Ель;1;;54;;;Сохранить
4094;Липа;1;;38;;;Вырубить
4098;Сосна;1;;55;;;Вырубить
4100;Ель;1;;46;;;Вырубить
4102;Ель;1;;58;;;Сохранить
4148;Липа;1;;22;;водоохр.зона;Вырубить
4149;Липа;1;;24;;водоохр.зона;Вырубить
4150;Липа;1;;19;;водоохр.зона;Вырубить
4151;Липа;1;;21;;водоохр.зона;Вырубить
4152;Липа;1;;15;;водоохр.зона;Вырубить
4153;Липа;1;;14;;водоохр.зона;Вырубить
4154;Липа;1;;10;;водоохр.зона;Вырубить
4155;Липа;1;;16;;водоохр.зона;Вырубить
4156;Липа;1;;14;;водоохр.зона;Вырубить
4157;Липа;1;;10;;водоохр.зона;Вырубить
4158;Липа;1;;11;;водоохр.зона;Вырубить
4159;Липа;1;;12;;водоохр.зона;Вырубить
4160;Ель;1;;39;;водоохр.зона, ствол наклонен;Вырубить
4164;Ель;1;;48;;водоохр.зона;Сохранить
4166;Ель;1;;47;;водоохр.зона;Вырубить
4167;Липа;1;;38;;водоохр.зона;Вырубить
4172;Сосна;1;;51;;водоохр.зона;Вырубить
4173;Ель;1;;47;;водоохр.зона, ствол наклонен;Вырубить
4174;Липа;1;;55;;водоохр.зона;Вырубить
4181;Сосна;1;;43;;водоохр.зона;Вырубить
4182;Береза;1;;35;;водоохр.зона;Вырубить
4183;Сосна;1;;29;;водоохр.зона, сухие ветви, спилы;Вырубить
4184;Липа;1;;30;;водоохр.зона, ствол наклонен;Вырубить
4185;Липа;1;;46;;водоохр.зона;Вырубить
4186;Липа;1;;48;;водоохр.зона, сухобочина;Вырубить
4187;Липа;1;;51;;водоохр.зона, сухобочина;Вырубить
4196;Сосна;1;;31;;водоохр.зона, ствол наклонен;Сохранить
4198;Береза;1;;42;;водоохр.зона, с развилкой;Вырубить
4199;Береза;1;;32,32;;водоохр.зона, 2 ствола;Вырубить
4200;Липа;1;;35;;водоохр.зона;Вырубить
4201;Липа;1;;56;;водоохр.зона;Вырубить
4202;Липа;1;;30,3;;водоохр.зона, 2 ствола;Вырубить
4203;Сосна;1;;54;;водоохр.зона;Вырубить
4204;Липа;1;;58,58;;водоохр.зона, 2 ствола;Вырубить
4205;Липа;1;;58,58;;водоохр.зона, 2 ствола;Вырубить
4206;Липа;1;;54;;водоохр.зона, ствол наклонен;Вырубить
4207;Липа;1;;50,51;;водоохр.зона, 2 ствола;Вырубить
4210;Сосна;1;;51;;водоохр.зона, сухие ветви;Вырубить
4211;Ель;1;;56;;водоохр.зона;Вырубить
4212;Ель;1;;58;;водоохр.зона;Вырубить
4213;Береза;1;;33;;водоохр.зона;Вырубить
4216;Липа;1;;52;;;Вырубить
4217;Ель;1;;58;;;Вырубить
4222;Сосна;1;;57;;;Вырубить
4228;Сосна;1;;28;;;Вырубить
4229;Липа;1;;49;;;Вырубить
4230;Сосна;1;;30;;;Вырубить
4231;Сосна;1;;45;;;Вырубить
4232;Сосна;1;;54;;;Вырубить
4235;Липа;1;;8;;;Вырубить
4236;Липа;1;;8;;;Вырубить
4237;Липа;1;;8;;;Вырубить
4238;Сосна;1;;35;;;Вырубить
4239;Клен остролистный;1;;8;;;Вырубить
4240;Клен остролистный;1;;8;;;Вырубить
4242;Липа;1;;8;;;Вырубить
4244;Береза;1;;32;;;Вырубить
4252;Липа;1;;45,45;;2 ствола, спилы;Вырубить
4253;Береза;1;;54;;;Вырубить
4254;Липа;1;;50;;;Вырубить
4255;Липа;1;;46;;;Вырубить
4256;Береза;1;;32;;;Вырубить
4257;Липа;1;;37;;;Вырубить
4258;Сосна;1;;54;;;Вырубить
4259;Сосна;1;;37;;;Вырубить
4260;Сосна;1;;48;;;Вырубить
4264;Липа;1;;40;;;Сохранить
4276;Липа;1;;41;;сухобочина;Вырубить
4277;Береза;1;;31;;;Сохранить
4280;Береза;1;;30;;;Сохранить
4281;Сосна;1;;25;;;Вырубить
4283;Липа;1;;49;;;Вырубить
4284;Липа;1;;32;;;Вырубить
4285;Береза;1;;33;;;Вырубить
4286;Ель;1;;39;;;Вырубить
4287;Ель;1;;45;;;Вырубить
4288;Ель;1;;54;;;Вырубить
4289;ель;1;;59;;;Вырубить
4290;Береза;1;;61;;;Вырубить
4291;Липа;1;;38;;;Вырубить
4298;Ель;1;;52;;;Вырубить
4299;Ель;1;;49;;;Вырубить
4300;Рябина;1;;21;;;Вырубить
4304;Липа;1;;56;;ствол наклонен;Вырубить
4305;Сосна;1;;29;;спилы;Вырубить
4307;Сосна;1;;30;;ствол наклонен, сухие ветви;Вырубить
4310;Ель;1;;34;;;Вырубить
4311;Ель;1;;56;;;Вырубить
4312;Ель;1;;52;;ствол наклонен;Вырубить
4313;Ель;1;;44;;;Вырубить
4314;Сосна;1;;25;;;Вырубить
4315;Ель;1;;43;;;Вырубить
4316;Ель;1;;38;;ств.накл., сухобоч., сух.вет., налич.плод.тел;Вырубить
4317;Ель;1;;33;;с развилкой, сухие ветви;Вырубить
4318;Ель;1;;31;;;Сохранить
4320;Сосна;1;;54;;сухие ветви;Вырубить
4321;Липа;1;;35;;;Вырубить
4326;Ель;1;;25;;;Вырубить
4329;Липа;1;;35;;;Вырубить
4332;Береза;1;;34;;;Вырубить
4334;Сосна;1;;27;;с развилкой, сухие ветви, спилы;Вырубить
4336;Клен ясенелистный;1;;23;;с развилкой;Сохранить
4338;Липа;1;;57;;;Вырубить
4339;Береза;1;;23;;;Вырубить
